date,last_price,open_price,max_price,min_price,avg_price
2011-11-01,4.3,4.2,4.3,4.2,4.3
2011-10-01,4.2,4.2,4.2,4.2,4.2
2011-09-01,4.2,4.2,4.2,4.2,4.2
2011-08-01,4.2,4.1,4.2,4.1,4.2
2011-07-01,4.1,4.1,4.1,4.1,4.1
2011-06-01,4.1,4.1,4.1,4.1,4.1
2011-05-01,4.1,4.1,4.1,4.1,4.1
2011-04-01,4.1,4.1,4.1,4.0,4.1
2011-03-01,4.1,4.0,4.1,4.0,4.0
2011-02-01,4.0,4.0,4.0,4.0,4.0
2011-01-01,4.0,4.0,4.0,4.0,4.0
2010-12-01,4.0,4.0,4.0,4.0,4.0
2010-11-01,4.0,4.0,4.0,4.0,4.0
2010-10-01,4.0,4.0,4.0,3.9,4.0
2010-09-01,4.0,3.9,4.0,3.9,4.0
2010-08-01,3.9,3.9,4.0,3.9,3.9
2010-07-01,3.9,3.9,3.9,3.9,3.9
2010-06-01,3.9,3.9,3.9,3.9,3.9
2010-05-01,3.9,3.9,3.9,3.9,3.9
2010-04-01,3.9,3.9,3.9,3.9,3.9
2010-03-01,3.9,3.9,3.9,3.9,3.9
2010-02-01,3.9,3.8,3.9,3.8,3.8
2010-01-01,3.8,3.8,3.8,3.8,3.8
