Date,Price,Open,High,Low,Vol.,Change %
5/1/2023,410.25,415.62,417.59,403.76,56.74M,-0.0137
4/1/2023,415.93,408.85,415.94,403.78,1.40B,0.016
3/1/2023,409.39,395.41,409.7,380.65,2.52B,0.0331
2/1/2023,396.26,405.21,418.31,393.64,1.60B,-0.0251
1/1/2023,406.48,384.37,408.16,377.83,1.58B,0.0629
12/1/2022,382.43,408.77,410.49,374.77,1.74B,-0.0619
11/1/2022,407.68,390.14,407.68,368.79,1.75B,0.0556
10/1/2022,386.21,361.08,389.52,348.11,2.02B,0.0813
9/1/2022,357.18,392.89,411.73,357.04,2.00B,-0.0962
8/1/2022,395.18,409.15,431.73,395.04,1.44B,-0.0408
7/1/2022,411.99,376.56,413.03,371.04,1.44B,0.0921
6/1/2022,377.25,415.17,417.44,362.17,1.96B,-0.0864
5/1/2022,412.93,412.07,429.66,380.54,2.42B,0.0023
4/1/2022,412,453.31,457.83,411.21,1.86B,-0.0878
3/1/2022,451.64,435.04,462.07,415.12,2.38B,0.0344
2/1/2022,436.63,450.68,458.12,410.64,2.30B,-0.0295
1/1/2022,449.91,476.3,479.98,420.76,2.49B,-0.0527
12/1/2021,474.96,461.64,479,448.92,1.93B,0.0426
11/1/2021,455.56,460.3,473.54,455.3,1.34B,-0.008
10/1/2021,459.25,430.98,459.56,426.36,1.51B,0.0702
9/1/2021,429.14,452.56,454.05,428.78,1.75B,-0.0497
8/1/2021,451.56,440.34,453.07,436.1,1.25B,0.0298
7/1/2021,438.51,428.87,441.8,421.97,1.42B,0.0244
6/1/2021,428.06,422.57,428.78,414.7,1.28B,0.0191
5/1/2021,420.04,419.43,422.82,404,1.55B,0.0066
4/1/2021,417.3,398.4,420.72,398.18,1.46B,0.0529
3/1/2021,396.33,385.59,398.12,371.88,2.40B,0.042
2/1/2021,380.36,373.72,394.17,370.38,1.31B,0.0278
1/1/2021,370.07,375.31,385.85,364.82,1.40B,-0.0102
12/1/2020,373.88,365.57,378.46,362.03,1.35B,0.0326
11/1/2020,362.06,330.2,364.38,327.24,1.54B,0.1088
10/1/2020,326.54,337.69,354.02,322.6,1.63B,-0.0249
9/1/2020,334.89,350.21,358.75,319.8,1.82B,-0.0413
8/1/2020,349.31,328.32,351.3,327.73,1.05B,0.0698
7/1/2020,326.52,309.57,327.23,309.07,1.51B,0.0589
6/1/2020,308.36,303.62,323.41,296.74,2.36B,0.0133
5/1/2020,304.32,285.31,306.84,272.99,1.91B,0.0476
4/1/2020,290.48,247.98,294.88,243.9,2.82B,0.127
3/1/2020,257.75,298.21,313.84,218.26,5.93B,-0.13
2/1/2020,296.26,323.35,339.08,285.54,2.11B,-0.0792
1/1/2020,321.73,323.54,332.95,320.36,1.40B,-0.0004
12/1/2019,321.86,314.59,323.8,307.13,1.29B,0.024
11/1/2019,314.31,304.92,315.48,304.74,1.04B,0.0362
10/1/2019,303.33,297.74,304.55,284.82,1.41B,0.0221
9/1/2019,296.77,290.57,302.63,289.27,1.33B,0.0148
8/1/2019,292.45,297.6,300.87,281.72,2.04B,-0.0167
7/1/2019,297.43,296.68,302.23,294.33,1.14B,0.0151
6/1/2019,293,275.31,296.31,273.09,1.34B,0.0644
5/1/2019,275.27,294.72,294.95,275.24,1.85B,-0.0638
4/1/2019,294.02,284.7,294.45,284.4,1.21B,0.0409
3/1/2019,282.48,280.44,285.18,272.42,1.68B,0.0136
2/1/2019,278.68,270.15,281.31,267.83,1.37B,0.0324
1/1/2019,269.93,245.98,270.47,243.67,2.05B,0.0801
12/1/2018,249.92,280.28,280.4,233.76,3.10B,-0.0933
11/1/2018,275.65,271.6,281.22,263.07,2.02B,0.0185
10/1/2018,270.63,292.11,293.21,259.85,3.02B,-0.0691
9/1/2018,290.72,289.84,293.94,286.71,1.23B,0.0014
8/1/2018,290.31,281.56,291.74,279.16,1.31B,0.0319
7/1/2018,281.33,269.51,284.37,269.24,1.27B,0.037
6/1/2018,271.28,272.41,279.48,268.49,1.60B,0.0013
5/1/2018,270.94,263.87,274.25,259.05,1.61B,0.0243
4/1/2018,264.51,262.55,271.3,254.67,2.00B,0.0052
3/1/2018,263.15,271.41,280.41,257.83,2.34B,-0.0313
2/1/2018,271.65,281.07,283.06,252.92,2.92B,-0.0364
1/1/2018,281.9,267.84,286.63,267.4,2.00B,0.0564
12/1/2017,266.86,264.76,268.6,260.76,1.72B,0.007
11/1/2017,265.01,258.04,266.05,255.63,1.37B,0.0306
10/1/2017,257.15,251.49,257.89,251.29,1.32B,0.0236
9/1/2017,251.23,247.92,251.32,244.95,1.29B,0.0151
8/1/2017,247.49,247.46,248.91,241.83,1.56B,0.0029
7/1/2017,246.77,242.88,248,240.34,1.06B,0.0206
6/1/2017,241.8,241.97,245.01,239.96,1.57B,0.0015
5/1/2017,241.44,238.68,242.08,235.43,1.49B,0.0141
4/1/2017,238.08,235.8,239.53,232.51,1.55B,0.0099
3/1/2017,235.74,238.39,240.32,231.61,1.92B,-0.0031
2/1/2017,236.47,228.26,237.31,226.82,1.37B,0.0393
1/1/2017,227.53,225.04,229.71,223.88,1.48B,0.0179
12/1/2016,223.53,220.73,228.34,219.15,1.82B,0.0143
11/1/2016,220.38,212.93,221.82,208.38,2.07B,0.0368
10/1/2016,212.55,215.82,216.7,211.21,1.73B,-0.0173
9/1/2016,216.3,217.37,219.22,212.31,2.30B,-0.005
8/1/2016,217.38,217.19,219.6,214.25,1.52B,0.0012
7/1/2016,217.12,209.36,217.54,207.06,1.65B,0.0365
6/1/2016,209.48,209.12,212.52,198.65,2.63B,-0.0017
5/1/2016,209.84,206.92,210.69,202.78,1.83B,0.017
4/1/2016,206.33,204.35,210.92,203.09,1.91B,0.0039
3/1/2016,205.52,195.01,206.87,194.45,2.32B,0.0618
2/1/2016,193.56,192.53,196.68,181.09,2.92B,-0.0008
1/1/2016,193.72,200.49,201.9,181.02,3.71B,-0.0498
12/1/2015,203.87,209.44,211,199.83,2.92B,-0.0231
11/1/2015,208.69,208.32,211.66,202.18,1.92B,0.0037
10/1/2015,207.93,192.08,209.44,189.12,2.54B,0.0851
9/1/2015,191.63,193.12,202.89,186.93,3.28B,-0.0306
8/1/2015,197.67,210.46,211.31,182.4,3.73B,-0.061
7/1/2015,210.5,207.73,213.18,204.11,2.45B,0.0226
6/1/2015,205.85,211.94,213.34,205.28,2.54B,-0.0251
5/1/2015,211.14,209.4,213.78,206.76,1.89B,0.0129
4/1/2015,208.46,206.39,212.48,204.51,2.04B,0.0098
3/1/2015,206.43,210.78,212.06,204.12,2.75B,-0.0201
2/1/2015,210.66,200.05,212.24,197.86,1.90B,0.0562
1/1/2015,199.45,206.38,206.88,198.55,3.18B,-0.0296
12/1/2014,205.54,206.4,212.97,197.86,3.05B,-0.008
11/1/2014,207.2,201.92,207.87,200.06,1.57B,0.0275
10/1/2014,201.66,196.7,201.82,181.92,3.94B,0.0236
9/1/2014,197.02,200.97,201.9,196.05,2.11B,-0.0184
8/1/2014,200.71,192.56,200.82,190.55,1.83B,0.0395
7/1/2014,193.09,196.2,199.06,192.97,1.89B,-0.0134
